,s1,s2,p-value
9332,KVUE,PYPL,0.0
9410,KVUE,VICI,0.0
7634,GEHC,PTC,0.0
9409,KVUE,VFC,0.0
7635,GEHC,PWR,0.0
9408,KVUE,V,0.0
9407,KVUE,USB,0.0
9411,KVUE,VLO,0.0
2918,CEG,JBL,0.0
9405,KVUE,UPS,0.0
9404,KVUE,UNP,0.0
9403,KVUE,UNH,0.0
2917,CEG,JBHT,0.0
2916,CEG,J,0.0
7636,GEHC,PXD,0.0
9406,KVUE,URI,0.0
9402,KVUE,ULTA,0.0
2919,CEG,JCI,0.0
9413,KVUE,VRSK,0.0
9417,KVUE,VTRS,0.0
7631,GEHC,PRU,0.0
2924,CEG,K,0.0
9416,KVUE,VTR,0.0
2923,CEG,JPM,0.0
7531,GEHC,LMT,0.0
9412,KVUE,VMC,0.0
9415,KVUE,VRTX,0.0
7530,GEHC,LLY,0.0
2921,CEG,JNJ,0.0
7632,GEHC,PSA,0.0
7633,GEHC,PSX,0.0
2920,CEG,JKHY,0.0
9414,KVUE,VRSN,0.0
2922,CEG,JNPR,0.0
7630,GEHC,PPL,0.0
7637,GEHC,PYPL,0.0
9400,KVUE,UDR,0.0
9391,KVUE,TSLA,0.0
9390,KVUE,TSCO,0.0
9389,KVUE,TRV,0.0
9388,KVUE,TROW,0.0
9387,KVUE,TRMB,0.0
2907,CEG,IP,0.0
7639,GEHC,QRVO,0.0
9386,KVUE,TRGP,0.0
7640,GEHC,RCL,0.0
7641,GEHC,REG,0.0
9385,KVUE,TPR,0.0
9384,KVUE,TMUS,0.0
9383,KVUE,TMO,0.0
9382,KVUE,TJX,0.0
2906,CEG,INVH,0.0
9401,KVUE,UHS,0.0
2908,CEG,IPG,0.0
2910,CEG,IR,0.0
9399,KVUE,UBER,0.0
9398,KVUE,UAL,0.0
9397,KVUE,TYL,0.0
9396,KVUE,TXT,0.0
9395,KVUE,TXN,0.0
9394,KVUE,TTWO,0.0
2909,CEG,IQV,0.0
7638,GEHC,QCOM,0.0
2914,CEG,ITW,0.0
2913,CEG,IT,0.0
9393,KVUE,TT,0.0
2912,CEG,ISRG,0.0
9392,KVUE,TSN,0.0
2911,CEG,IRM,0.0
2915,CEG,IVZ,0.0
7629,GEHC,PPG,0.0
9418,KVUE,VZ,0.0
9419,KVUE,WAB,0.0
7613,GEHC,PEG,0.0
9439,KVUE,XRAY,0.0
2936,CEG,L,0.0
2935,CEG,KR,0.0
9438,KVUE,XOM,0.0
7614,GEHC,PEP,0.0
9440,KVUE,XYL,0.0
7615,GEHC,PFE,0.0
7533,GEHC,LOW,0.0
9437,KVUE,XEL,0.0
2934,CEG,KO,0.0
9436,KVUE,WYNN,0.0
7616,GEHC,PFG,0.0
9435,KVUE,WY,0.0
7534,GEHC,LRCX,0.0
9434,KVUE,WTW,0.0
9441,KVUE,YUM,0.0
9442,KVUE,ZBH,0.0
2945,CEG,LNT,0.0
2944,CEG,LMT,0.0
2943,CEG,LLY,0.0
2942,CEG,LKQ,0.0
2941,CEG,LIN,0.0
7611,GEHC,PCG,0.0
2937,CEG,LDOS,0.0
2940,CEG,LHX,0.0
9444,KVUE,ZION,0.0
2939,CEG,LH,0.0
7612,GEHC,PEAK,0.0
9443,KVUE,ZBRA,0.0
2938,CEG,LEN,0.0
7535,GEHC,LULU,0.0
9445,KVUE,ZTS,0.0
9433,KVUE,WST,0.0
2933,CEG,KMX,0.0
9432,KVUE,WRK,0.0
2928,CEG,KHC,0.0
7623,GEHC,PM,0.0
7624,GEHC,PNC,0.0
2927,CEG,KEYS,0.0
2926,CEG,KEY,0.0
7625,GEHC,PNR,0.0
2929,CEG,KIM,0.0
7626,GEHC,PNW,0.0
7627,GEHC,PODD,0.0
2925,CEG,KDP,0.0
9421,KVUE,WBA,0.0
